content,text_clean,label,jumlah_kata
"JANGAN BERLANGGANAN! KECUALI MAU RUGI. 1. Nano Banana sering error terutama pada hasil gambar ( rasio ). prompt 9:16 , hasilnya selalu 1:1, mengecewakan. 2. Veo3 seringkali hasil video tidak bersuara meskipun perintah nya sangat jelas. 3. veo3 perhari 3 video 1 video 8 detik ( RUGI )",jangan berlangganan kecuali rugi nano banana error hasil gambar rasio prompt hasilnya mengecewakan veo seringkali hasil video tidak bersuara perintah sangat jelas veo perhari video video detik rugi,Negatif,28
"Akun Saya sudah berlanganan, selalu saja mncul Tulisan ""Maaf, saya tidak bisa membuat lebih banyak gambar untuk Anda hari ini, tetapi Anda bisa kembali lagi besok untuk membuat gambar lainnya."" padahal dalam 24 jam saya belum membuat satu gambar pun, giliran make akun email grtis di proses gambarnya, untuk pembuatan Vidio pun hanya di batasi 2 kali pembuatan saja, percuma saja Berlangganan kalau akses yang di kasih malah terbatas, masa lebih bagusan Gratisan Terimakasih 🙏🙏",akun berlangganan muncul tulisan maaf tidak bisa gambar bisa besok gambar jam belum gambar giliran pakai akun email gratis proses gambarnya pembuatan video batasi kali pembuatan berlangganan akses kasih terbatas bagusan gratisan terimakasih,Positif,33
"Asisten yang sangat bagus, dan membantu, tapi kadang ngebug percakapan sebelumnya gagal dimuat. sama tiba-tiba gak bisa kirim percakapan bersama gambar jadinya stuck di ""tunggu sebentar.."", sama terkadang saat baru mulai percakapan sama AI nya malah jadi bahasa Inggris, overall sih bagus banget, responnya dan percakapannya cukup akurat dan nyambung. AI The best pokoknya.",ya standarlah untuk jenis ini,Netral,33
"Katanya aplikasi ini gak ngasih batasan pesan di chatnya, tapi begitu aku scroll ke atas begitu pesan-pesan di chatnya makin panjang, aku gak bisa liat pesan-pesan sebelumnya! gimana sih ini? kembalikan history chatnya dong! ada orang kayak aku yang suka baca historinya! ChatGPT justru gak kayak gini kalo soal masalah pesan chat yang kepanjangan! Perbaiki masalah ini, ganggu banget!",aplikasi tidak batasan pesan chatnya scroll pesan pesan chatnya tidak bisa lihat pesan pesan kembalikan history chatnya orang kayak suka baca historinya chatgpt tidak kayak gini pesan chat kepanjangan perbaiki ganggu banget,Negatif,32
"Masalah: Error terus-menerus saat unggah file MP4 (Error Code: Internal Server Error / Upload Failed). Detail File: Ukuran kecil (8,38 MB), format standar MP4. Status: Sudah dicoba via Aplikasi (Update terbaru), Web (Chrome/Incognito), dan integrasi Google Drive, tetap GAGAL total. Perangkat: [Redmi 9a] Mohon segera perbaiki server upload/processing untuk wilayah Indonesia. Fitur tidak bisa digunakan sama sekali!",error menerus unggah file mp error code internal server error upload failed detail file ukuran mb format standar mp status dicoba via aplikasi update terbaru web chrome incognito integrasi google drive gagal total perangkat redmi a mohon perbaiki server upload processing wilayah indonesia fitur tidak bisa,Negatif,46
"update versi terbaru seharusnya menambah efesiensi dalam beraktifitas menggunakan gemini. Fitur pada versi sebelumnya lebih baik daripada update terbaru saat ini, dimana pada versi sebelumnya dapat langsung mengubah jawaban gemini kedalam dokumen yang terismpan di google drive tetapi pada versi terbaru fitur itu hilang, dan diarahkan untuk melakukan copy paste, bukankah ini suatu kemunduran!!!!!!!!",update versi terbaru menambah efesiensi beraktivitas gemini fitur versi baik update terbaru dimana versi langsung mengubah gemini kedalam dokumen tersimpan google drive versi terbaru fitur hilang diarahkan copy paste kemunduran,Negatif,30
"I hate this.....ya... sebenarnya kecewa sebagai student universitas....ketika saya ingin belajar dan memahami materi yang kompleks, gemini selalu tidak bisa membaca PDF saya dan halu....kadang muncul pesan ""Maaf pdf anda belum dikirim"" padahal saya sudah kirim.... kemudian tentang gambar, saya suruh menganalisis gambar gemini tidak bisa.... saya pakai PRO!!!! PRO LOHH.....kenapa jelek sekali semakin lama!!?",i hate this kecewa student universitas belajar memahami materi kompleks gemini tidak bisa membaca pdf halu kadang muncul pesan maaf pdf belum dikirim kirim gambar suruh menganalisis gambar gemini tidak bisa pakai profesional profesional lohh jelek,Negatif,36
"sekarang saya kecewa sekali dengan kebijakan ke amanan di aplikasi sekarang ngak bisa edit foto berdampingan dengan foto orang lain ,saya jasa tukang edit dengan ini saya kecewa berat dengan sistem nya kenapa di batasi teks nya dan keamanan nya ,membuat saya kecewa berat",kecewa kebijakan amanan aplikasi tidak bisa edit foto berdampingan foto orang jasa tukang edit kecewa berat sistem batasi teks keamanan kecewa berat,Negatif,22
"bagi saya udah lumayan bagus dan membantu banget tapi aku suka kesel kalau soal gambar itu. padahal aku ga nyuruh bikin gambar tapi masih aja bikin gambar. padahal aku udah nyuruh berhenti tapi terkadang beberapa gambar yang aku kirim misal hasil gambarku di aplikasi lain malah di buat lagi, itu yang bikin aku kesel tapi kalo soal foto barang gitu ga bikin gambar lain-lain. kalo bisa yah di perbaiki lagi biar kalo kita udah nyuruh ga bikin gambar dia ga bikin sampai kita nyuruh dia buat gambarny",berjalan normal,Netral,41
"Tolong kembalikan generated gambar seperti sebelum ada nano banana.., setelah ada nano banana justru hasil generated gambar terkesan monoton, padahal prompt sudah sy ganti ganti, resolusi gambar pun juga jadi berkurang.. Memang benar sy pengguna free, tapi sy jg tidak generated banyak gambar per hari nya.. jadi mohon diperbaiki.. terima kasih",evaluasi performa pada sistem operasi,Netral,29
"untuk menyalin teks tidak seperti saat pakai web gemini di chrome ditekan langsung terbold, disini klik salin pilih teks malah terlihat pusing dengan font, numerik & space yang berbeda, juga harus mencari ulang teks mana yang saya ingin salin itu🤒",menyalin teks tidak pakai web gemini chrome ditekan langsung terbold klik salin pilih teks pusing font numerik space berbeda mencari ulang teks salin,Negatif,23
"selama ni tidak pernah mengewakan dari apk ni tapi belakangan sangat buruk dalam hal unggahan foto selalu tidak sama, dan kadang per lisan nya sangat buruk tidak dapat terdeteksi semua. Dan hari ni juga saya akan mengedit dan apk ni menuliskan ni ke pada saya : I'd be happy to make that image for you in the Gemini app, where you can create more images and get the full experience. saya,kecewa dengan kinerja gemini hari ni, tolong di perbaiki tingkat masalah bug dan yg lain nya.",tidak mengecewakan apk sangat buruk unggahan foto tidak kadang lisan sangat buruk tidak terdeteksi mengedit apk menuliskan i be bahagia to pakai that image for you in the gemini app where you belum create more images and get the full experience kecewa kinerja gemini tolong perbaiki tingkat bug,Negatif,48
"bagus tapi bikin emosi,jawabannya ngga konsisten. Sinyal jelek = pesan penolakan,kadang pertanyaan yang jelas aman seperti tanya tiang bendera tertinggi dan sebagainya dianggap tidak aman kalau sinyal lag,jawabannya juga ngga konsisten,tolong lah sinyal jelek nunggu jawaban lama masa pas keluar jawabannya kadang udah keluar tapi tiba tiba hilang dan langsung di ganti pesan penolakan katanya tidak aman segala macem asli bikin emosi.",bagus bikin emosi jawabannya tidak konsisten sinyal jelek pesan penolakan kadang jelas aman tiang bendera tertinggi dianggap tidak aman sinyal lag jawabannya tidak konsisten tolong sinyal jelek nunggu pas jawabannya kadang hilang langsung ganti pesan penolakan tidak aman asli bikin emosi,Negatif,41
"overall, semuanya bagus. menurutku juga batasan untuk pakai pro gratis itu tidak masalah walau hanya diberikan sedikit dan harus berlangganan untuk mendapatkan jangka waktu banyak dalam sesi obrolan. toh kita kan pengguna gratis jadi bisa apa? tapi, aku hanya berharap kalau per sesi obrolan gemini bisa mengingat obrolan yang sudah berlanjut walau itu cukup panjang, karena ai nya suka lupa poin kecil yang sudah di bicarakan karena itu obrolan panjang. that's all, saya harap Gemini segera ngupdate",sebenernya mirip mirip saja,Netral,34
"Aplikasi selalu Bermasalah, tidak dapat menyimpan gambar (terjadi error). Hanya bisa menyimpan jika lewat gemini web browser. Kualitas gambar menurun semenjak hadirnya nano banana. Tolong perbaiki bug ini. Agar kualitas adalah utama bagi pengguna.",aplikasi bermasalah tidak menyimpan gambar error bisa menyimpan gemini web browser kualitas gambar menurun semenjak hadirnya nano banana tolong perbaiki bug kualitas utama pengguna,Negatif,24
"Untuk pembuatan gambarnya, paling realistis di antara AI yang lain. Cuman, 1 kelemahannya. Gambar sering tidak muncul saat obrolan baru dimulai. Untuk penelusuran, sudah cukup objektif. Tidak halusinasi. Dan bisa diajak diskusi, asalkan kita membalasnya juga dengan ucapan yang objektif.",pembuatan gambarnya realistis ai cuman kelemahannya gambar tidak muncul obrolan penelusuran objektif tidak halusinasi bisa diajak diskusi membalasnya ucapan objektif,Positif,20
"ai yang sangat bagu untuk dipakai, dikarenakan tidak ada limit dan jika memakai deep research fitur sangat mencari informasi dengan detail!,tetapi ada beberapa kekurangan yaitu salah satunya tidak bisa membuat suatu teks panjang bisa di copy/disalin dengan hanya menekan satu tombol saja.",ai sangat bagu dipakai tidak limit memakai deep research fitur sangat mencari informasi detail kekurangan salah satunya tidak bisa teks bisa copy disalin menekan tombol,Positif,25
"Sebelum rame kualitasnya bagus, lebih realistis dan kuota free nya sampai 100, ketika udah rame, editannya semalem per tanggal 18 September mulai berkurang, resolusinya turun, gak mengikuti petunjuk promptnya... Jadi maaf banget jadi bintang 3 aja...",sebenernya mirip mirip saja,Netral,21
"@D. Andy.R.P:buatkan gambar yang di hasilkan kamera polaroid. foto tersebut harus terlihat seperti foto biasa, tanpa subjek atau properti yang jelas, foto tersebut harus memiliki sedikit efek blur dan sember cahaya yang konsisten seperti lampu kilat dari ruang gelap yang tersenar di seluruh foto, jangan ubah wajah, ganti latar belakang kedua orang tersebut dengan tirai putih dengan cowok teresbut menyentuk kepala saya",andy r p buatkan gambar hasilkan kamera polaroid foto foto biasa subjek properti jelas foto memiliki efek blur sember cahaya konsisten lampu kilat ruang gelap tersenar foto jangan ubah wajah ganti latar orang tirai putih cowok teresbut menyentuk kepala,Positif,39
"akun sudah berlangganan tapi sampai sekarang (-+sudah 38 jam setelah pembayaran) sama sekali belum bisa menikmati fitur langganan yang ditawarkan. Tiap kali mau bikin gambar selalu saja muncul, ""Saya tidak bisa membuat lebih banyak gambar untuk Anda hari ini, tetapi saya masih bisa menemukan gambar dari web"". Sementara saya coba pake akun lain yang gratisan dengan prompt yang sama bisa. tolong dong. Maasa yang gratisan bisa, tapi yang berlangganan bayar malah ga bisa sama sekali",akun berlangganan jam pembayaran belum bisa menikmati fitur langganan ditawarkan kali bikin gambar muncul tidak bisa gambar bisa menemukan gambar web coba pakai akun gratisan prompt bisa tolong maasa gratisan bisa berlangganan bayar tidak bisa,Positif,35
"Aduh ini apk awalnya aku coba baguss buat bikin foto ai, tapi makin sini malah ga ngikutin apa yang kita tulis... aku mau naikin resolusi tapi pasti feminist selalu ngirim foto yang kita kirim yang belum di apa apain. sebelumnya juga aku udah coba berkali kali lewat pesan baru... tapi selalu gini...",aduh apk coba baguss bikin foto ai tidak ngikutin tulis naikin resolusi feminist ngirim foto kirim belum apain coba berkali kali pesan gini,Negatif,23
"Tolong di perbaiki, pertama masalah respon percakapan, terkadang ada bug yang membuat AI membalas percakapan dengan respon 2 sampai 3 chat di atas dan ketika jawaban di edit tidak berubah, semacam stuck dengan percakapan sebelumnya. ini sedikit mengganggu karena sering muncul. kedua masalah hyperlink dan auto embed, sudah bagus sekarang bisa menampilkan link namun auto embed nya ganggu karena tidak bisa d atur untuk auto play dan kualitasnya terkadang ada bug pada bagian pop up",tolong perbaiki respon percakapan terkadang bug ai membalas percakapan respon chat edit tidak berubah stuck percakapan mengganggu muncul hyperlink auto embed bagus bisa menampilkan link auto embed ganggu tidak bisa atur auto play kualitasnya terkadang bug pop up,Positif,38
"Menurut saya, gemini ai no 1 sih, untuk ngoding, basic, bantu apa, gemini pasti no 1 karna ya udah ke integrasi dengan google jadi hasil nya pasti akurat, buat foto bagus tapi ya kok saya minta buat logo malah buat banner itu yang aneh, terus buatkan agar lebih mengerti bahasa gaul, lebih efisien,lebih mengerti, dan juga di tingkatkan lagi gemini nya agar lebih bisa membantu, mana juga ada gemini code assist di vs code lebih bisa membantu, terimakasih ya udah buat ai sebagus ini",gemini ai no ngoding basic bantu gemini no integrasi google hasil akurat foto bagus logo banner aneh buatkan mengerti bahasa gaul efisien mengerti tingkatkan gemini bisa membantu gemini code assist vs code bisa membantu terimakasih ai sebagus,Positif,37
"Sy mencoba berlangganan versi pro, Untuk pembuatan video, masih tidak sesuai, masalahnya tidak ada garansi untuk video yg tidak sesuai ekspektasi atau bahkan cacat secara logika. Mau berhasil mau gagal kuota kamu hanya 3 video perhari",mencoba berlangganan versi profesional pembuatan video tidak sesuai tidak garansi video tidak sesuai ekspektasi cacat logika berhasil gagal kuota video perhari,Negatif,21
"HEI PIHAK GOOGLE! Tolong perbaiki kesalahan AI kalian soalnya dia menjawab aku dengan gambar terus! padahal aku nggak masukin dia ke mode Gambar atau nano Banana, tapi AI ini malah menjawab aku dengan gambar yang seharusnya berupa teks, mending perbaiki sekarang deh aku dah muak selalu terjadi, jadi buatkan Update tapi AI nya nggak selalu agresif gitu!, ini juga terjadinya pas aku ngasih sebuah foto tapi aku gk bilang ""gambarlah"" atau ""buatkan"" cuman ngomong yang gk ada kata itu aku bilang nya.",hei google tolong perbaiki kesalahan ai gambar tidak masukkan mode gambar nano banana ai gambar teks baik perbaiki deh deh muak buatkan update ai tidak agresif gitu pas foto tidak bilang gambarlah buatkan cuman bicara tidak bilang,Negatif,37
"banyak bug, saat mau generate foto, itu suka nyambung aja sama foto yang sebelumnya udh di generate. padahal aku kirim foto baru dan prompt baru. tapi suka nyambung aja sama gambar² sebelum nya, jadi terpaksa harus buka chat baru, ribet, padahal harusnya kalau gak di suruh sambungin sama foto sebelumnya, ya jangan di sambungin🗿",bug generate foto suka nyambung foto generate kirim foto prompt suka nyambung gambar terpaksa buka chat ribet tidak suruh sambungin foto jangan sambungin,Positif,23
"Sebenarnya apk ini bagus tapi kadang ada tulisan koneksi anda sedang terganggu, coba lagi, padahal koneksi Internetnya bagus, buat apk lainnya lancar. Dan juga kadang AI tidak bisa konsisten, kadang bisa menghasilkan gambar, kadang kalau sudah diulang tidak bisa lagi. Mohon ke depannya diperbaiki kembali, terimakasih.",seperti aplikasi ai yang lain ga yang spesial amat,Netral,29
"Parah sih Gemini di tahun ini. Saya gaada nyuruh buat gambar tapi anehnya malah buat gambar terus. Udah tak kotak katik kata-katanya plus pake perintah buat jangan bikin gambar pun tetep aja dibuat jadi gambar kekkk APA COBAAAA!!!??? sebelumnya baik-baik aja deh, gaada errornya juga yang versi lalu, ini kenapa sekarang malah beginiiii. Tolong lah di perbaiki dev.. ga nyaman banget asli. Cape sumpah pake Gemini ini jadinyaaa.",parah gemini tidak nyuruh gambar anehnya gambar tidak kotak katik plus pakai perintah jangan bikin gambar tetep gambar kekk cobaa baik baik deh tidak errornya versi beginii tolong perbaiki dev tidak nyaman banget asli capek sumpah pakai gemini jadinyaa,Negatif,39
"ini aplikasi bagus sekali dan sangat membatu juga, tapi kadang tidak sesuai perintah ketika mambuat gambar padahal prompt yg digunakan sudah sesuai, trus biasanya 1 prompt bisa buat macem"" gambar tapi ini hanya 1 gambar aja kalopun beda, hanya beda posisi aja tapi masih gambar yg sama. overall masih oke dan masih bisa di maklumi",penyesuaian pengaturan tampilan antarmuka,Netral,26
"Berlangganan mahal-mahal, tapi hasil tidak sesuai harapan, proses pembuatan foto menjadi video pun memakan waktu lama, tidak seperti yang infokan, han 1 atau 2 menit, dan kadang proses pembuatan foto menjadi video banyak gagalnya.",berlangganan mahal mahal hasil tidak sesuai harapan proses pembuatan foto video memakan tidak infokan han menit kadang proses pembuatan foto video gagalnya,Negatif,22
"sumpah bagus. apalagi buat bantu bikin cerita. lebih flexibel sekarang. tapi sayang logika, kemampuan berbahasanya, dan memorinya lebih bagus yg versi 2.5 pro waktu saya pertama kali pakai. yah semoga a.i kalian kecerdasan berbahasanya tidak jadi hancur setiap naik versi kayak A.I tetangga sebelah yang semakin naik versi jadi buruk kemampuan berlogika dan bahasanya untuk membuat cerita. dan untuk nano banananya..gw acungin jempolah so far masih paling bagus dr yg lain. sesuai prompt gw. mantap!",sumpah bagus bantu bikin cerita flexibel sayang logika kemampuan berbahasanya memorinya bagus versi profesional kali pakai yah semoga a i kecerdasan berbahasanya tidak hancur versi kayak a i tetangga sebelah versi buruk kemampuan berlogika bahasanya cerita nano banananya acungin jempolah so far bagus dr sesuai prompt mantap,Positif,47
"Buatlah gambar yang diambil dengan kamera Polaroid. Foto tersebut harus terlihat seperti foto biasa, tanpa subjek atau properti yang jelas. Foto tersebut harus memiliki sedikit efek blur dan sumber cahaya yang konsisten, seperti lampu kilat dari ruangan gelap,yang tersebar di seluruh foto. Jangan ubah wajah. Ganti latar belakang di belakang kedua orang tersebut dengan tirai putih. Dengan cowo merangkul saya""",buatlah gambar diambil kamera polaroid foto foto biasa subjek properti jelas foto memiliki efek blur sumber cahaya konsisten lampu kilat ruangan gelap tersebar foto jangan ubah wajah ganti latar orang tirai putih cowo merangkul,Negatif,34
"Awal pemakaian gampang banget, kesini²nya malah makin susah aja, berkali² upload foto dengan prompt yang udah di tulis dengan jelas malah gambar yang keluar beda dengan prompt yang di tulis, dan makin kesini malah makin error, upload foto dengan tulisan prompt malah ga menghasilkan gambar apapun, yang keluar malah cuma tulisan² aja, nyoba lagi begitu lagi,,,terus aja begitu ,ga menghasilkan gambar sama sekali. Sering error, tolong perbaiki lagi agar mudah di gunakan.",pemeriksaan kompatibilitas perangkat,Netral,34
"mantab aplikasinyaTerima kasih telah membagikan tips ini! Ide foto viral yang keren sekali. Untuk membuat foto seperti itu, Anda bisa menggunakan fitur Google Gemini yang memungkinkan Anda mengunggah dua gambar dan memberikan perintah teks untuk menggabungkannya. Berikut adalah langkah-langkah yang lebih rinci dan beberapa tips tambahan agar hasilnya lebih maksimal: Langkah-langkah Membuat Foto Viral * Buka Google Gemini. Pastikan Anda menggunakan versi terbaru untuk mengakses semua fitur. * U",sebenernya mirip mirip saja,Netral,38
