content,score
"Tolong kembalikan generated gambar seperti sebelum ada nano banana.., setelah ada nano banana justru hasil generated gambar terkesan monoton, padahal prompt sudah sy ganti ganti, resolusi gambar pun juga jadi berkurang.. Memang benar sy pengguna free, tapi sy jg tidak generated banyak gambar per hari nya.. jadi mohon diperbaiki.. terima kasih",3
"untuk menyalin teks tidak seperti saat pakai web gemini di chrome ditekan langsung terbold, disini klik salin pilih teks malah terlihat pusing dengan font, numerik & space yang berbeda, juga harus mencari ulang teks mana yang saya ingin salin itu🤒",1
"selama ni tidak pernah mengewakan dari apk ni tapi belakangan sangat buruk dalam hal unggahan foto selalu tidak sama, dan kadang per lisan nya sangat buruk tidak dapat terdeteksi semua. Dan hari ni juga saya akan mengedit dan apk ni menuliskan ni ke pada saya : I'd be happy to make that image for you in the Gemini app, where you can create more images and get the full experience. saya,kecewa dengan kinerja gemini hari ni, tolong di perbaiki tingkat masalah bug dan yg lain nya.",1
"bagus tapi bikin emosi,jawabannya ngga konsisten. Sinyal jelek = pesan penolakan,kadang pertanyaan yang jelas aman seperti tanya tiang bendera tertinggi dan sebagainya dianggap tidak aman kalau sinyal lag,jawabannya juga ngga konsisten,tolong lah sinyal jelek nunggu jawaban lama masa pas keluar jawabannya kadang udah keluar tapi tiba tiba hilang dan langsung di ganti pesan penolakan katanya tidak aman segala macem asli bikin emosi.",2
"overall, semuanya bagus. menurutku juga batasan untuk pakai pro gratis itu tidak masalah walau hanya diberikan sedikit dan harus berlangganan untuk mendapatkan jangka waktu banyak dalam sesi obrolan. toh kita kan pengguna gratis jadi bisa apa? tapi, aku hanya berharap kalau per sesi obrolan gemini bisa mengingat obrolan yang sudah berlanjut walau itu cukup panjang, karena ai nya suka lupa poin kecil yang sudah di bicarakan karena itu obrolan panjang. that's all, saya harap Gemini segera ngupdate",3
"Aplikasi selalu Bermasalah, tidak dapat menyimpan gambar (terjadi error). Hanya bisa menyimpan jika lewat gemini web browser. Kualitas gambar menurun semenjak hadirnya nano banana. Tolong perbaiki bug ini. Agar kualitas adalah utama bagi pengguna.",1
"Untuk pembuatan gambarnya, paling realistis di antara AI yang lain. Cuman, 1 kelemahannya. Gambar sering tidak muncul saat obrolan baru dimulai. Untuk penelusuran, sudah cukup objektif. Tidak halusinasi. Dan bisa diajak diskusi, asalkan kita membalasnya juga dengan ucapan yang objektif.",5
"ai yang sangat bagu untuk dipakai, dikarenakan tidak ada limit dan jika memakai deep research fitur sangat mencari informasi dengan detail!,tetapi ada beberapa kekurangan yaitu salah satunya tidak bisa membuat suatu teks panjang bisa di copy/disalin dengan hanya menekan satu tombol saja.",5
"Sebelum rame kualitasnya bagus, lebih realistis dan kuota free nya sampai 100, ketika udah rame, editannya semalem per tanggal 18 September mulai berkurang, resolusinya turun, gak mengikuti petunjuk promptnya... Jadi maaf banget jadi bintang 3 aja...",3
"@D. Andy.R.P:buatkan gambar yang di hasilkan kamera polaroid. foto tersebut harus terlihat seperti foto biasa, tanpa subjek atau properti yang jelas, foto tersebut harus memiliki sedikit efek blur dan sember cahaya yang konsisten seperti lampu kilat dari ruang gelap yang tersenar di seluruh foto, jangan ubah wajah, ganti latar belakang kedua orang tersebut dengan tirai putih dengan cowok teresbut menyentuk kepala saya",5
"akun sudah berlangganan tapi sampai sekarang (-+sudah 38 jam setelah pembayaran) sama sekali belum bisa menikmati fitur langganan yang ditawarkan. Tiap kali mau bikin gambar selalu saja muncul, ""Saya tidak bisa membuat lebih banyak gambar untuk Anda hari ini, tetapi saya masih bisa menemukan gambar dari web"". Sementara saya coba pake akun lain yang gratisan dengan prompt yang sama bisa. tolong dong. Maasa yang gratisan bisa, tapi yang berlangganan bayar malah ga bisa sama sekali",5
"Aduh ini apk awalnya aku coba baguss buat bikin foto ai, tapi makin sini malah ga ngikutin apa yang kita tulis... aku mau naikin resolusi tapi pasti feminist selalu ngirim foto yang kita kirim yang belum di apa apain. sebelumnya juga aku udah coba berkali kali lewat pesan baru... tapi selalu gini...",2
"Tolong di perbaiki, pertama masalah respon percakapan, terkadang ada bug yang membuat AI membalas percakapan dengan respon 2 sampai 3 chat di atas dan ketika jawaban di edit tidak berubah, semacam stuck dengan percakapan sebelumnya. ini sedikit mengganggu karena sering muncul. kedua masalah hyperlink dan auto embed, sudah bagus sekarang bisa menampilkan link namun auto embed nya ganggu karena tidak bisa d atur untuk auto play dan kualitasnya terkadang ada bug pada bagian pop up",5
"Menurut saya, gemini ai no 1 sih, untuk ngoding, basic, bantu apa, gemini pasti no 1 karna ya udah ke integrasi dengan google jadi hasil nya pasti akurat, buat foto bagus tapi ya kok saya minta buat logo malah buat banner itu yang aneh, terus buatkan agar lebih mengerti bahasa gaul, lebih efisien,lebih mengerti, dan juga di tingkatkan lagi gemini nya agar lebih bisa membantu, mana juga ada gemini code assist di vs code lebih bisa membantu, terimakasih ya udah buat ai sebagus ini",5
"Sy mencoba berlangganan versi pro, Untuk pembuatan video, masih tidak sesuai, masalahnya tidak ada garansi untuk video yg tidak sesuai ekspektasi atau bahkan cacat secara logika. Mau berhasil mau gagal kuota kamu hanya 3 video perhari",2
"HEI PIHAK GOOGLE! Tolong perbaiki kesalahan AI kalian soalnya dia menjawab aku dengan gambar terus! padahal aku nggak masukin dia ke mode Gambar atau nano Banana, tapi AI ini malah menjawab aku dengan gambar yang seharusnya berupa teks, mending perbaiki sekarang deh aku dah muak selalu terjadi, jadi buatkan Update tapi AI nya nggak selalu agresif gitu!, ini juga terjadinya pas aku ngasih sebuah foto tapi aku gk bilang ""gambarlah"" atau ""buatkan"" cuman ngomong yang gk ada kata itu aku bilang nya.",2
"banyak bug, saat mau generate foto, itu suka nyambung aja sama foto yang sebelumnya udh di generate. padahal aku kirim foto baru dan prompt baru. tapi suka nyambung aja sama gambar² sebelum nya, jadi terpaksa harus buka chat baru, ribet, padahal harusnya kalau gak di suruh sambungin sama foto sebelumnya, ya jangan di sambungin🗿",5
"Sebenarnya apk ini bagus tapi kadang ada tulisan koneksi anda sedang terganggu, coba lagi, padahal koneksi Internetnya bagus, buat apk lainnya lancar. Dan juga kadang AI tidak bisa konsisten, kadang bisa menghasilkan gambar, kadang kalau sudah diulang tidak bisa lagi. Mohon ke depannya diperbaiki kembali, terimakasih.",3
"Parah sih Gemini di tahun ini. Saya gaada nyuruh buat gambar tapi anehnya malah buat gambar terus. Udah tak kotak katik kata-katanya plus pake perintah buat jangan bikin gambar pun tetep aja dibuat jadi gambar kekkk APA COBAAAA!!!??? sebelumnya baik-baik aja deh, gaada errornya juga yang versi lalu, ini kenapa sekarang malah beginiiii. Tolong lah di perbaiki dev.. ga nyaman banget asli. Cape sumpah pake Gemini ini jadinyaaa.",1
"ini aplikasi bagus sekali dan sangat membatu juga, tapi kadang tidak sesuai perintah ketika mambuat gambar padahal prompt yg digunakan sudah sesuai, trus biasanya 1 prompt bisa buat macem"" gambar tapi ini hanya 1 gambar aja kalopun beda, hanya beda posisi aja tapi masih gambar yg sama. overall masih oke dan masih bisa di maklumi",4
"Berlangganan mahal-mahal, tapi hasil tidak sesuai harapan, proses pembuatan foto menjadi video pun memakan waktu lama, tidak seperti yang infokan, han 1 atau 2 menit, dan kadang proses pembuatan foto menjadi video banyak gagalnya.",2
"sumpah bagus. apalagi buat bantu bikin cerita. lebih flexibel sekarang. tapi sayang logika, kemampuan berbahasanya, dan memorinya lebih bagus yg versi 2.5 pro waktu saya pertama kali pakai. yah semoga a.i kalian kecerdasan berbahasanya tidak jadi hancur setiap naik versi kayak A.I tetangga sebelah yang semakin naik versi jadi buruk kemampuan berlogika dan bahasanya untuk membuat cerita. dan untuk nano banananya..gw acungin jempolah so far masih paling bagus dr yg lain. sesuai prompt gw. mantap!",5
"Buatlah gambar yang diambil dengan kamera Polaroid. Foto tersebut harus terlihat seperti foto biasa, tanpa subjek atau properti yang jelas. Foto tersebut harus memiliki sedikit efek blur dan sumber cahaya yang konsisten, seperti lampu kilat dari ruangan gelap,yang tersebar di seluruh foto. Jangan ubah wajah. Ganti latar belakang di belakang kedua orang tersebut dengan tirai putih. Dengan cowo merangkul saya""",2
"Awal pemakaian gampang banget, kesini²nya malah makin susah aja, berkali² upload foto dengan prompt yang udah di tulis dengan jelas malah gambar yang keluar beda dengan prompt yang di tulis, dan makin kesini malah makin error, upload foto dengan tulisan prompt malah ga menghasilkan gambar apapun, yang keluar malah cuma tulisan² aja, nyoba lagi begitu lagi,,,terus aja begitu ,ga menghasilkan gambar sama sekali. Sering error, tolong perbaiki lagi agar mudah di gunakan.",3
"mantab aplikasinyaTerima kasih telah membagikan tips ini! Ide foto viral yang keren sekali. Untuk membuat foto seperti itu, Anda bisa menggunakan fitur Google Gemini yang memungkinkan Anda mengunggah dua gambar dan memberikan perintah teks untuk menggabungkannya. Berikut adalah langkah-langkah yang lebih rinci dan beberapa tips tambahan agar hasilnya lebih maksimal: Langkah-langkah Membuat Foto Viral * Buka Google Gemini. Pastikan Anda menggunakan versi terbaru untuk mengakses semua fitur. * U",4
"gemini sangat bagus, tetapi ada memiliki beberapa kekurangan seperti terkadang gemini tidak bisa mendeteksi ada gambar padahal gambar sudah di upload, terkadang gemini menyimpang dari pembicaraan yang ada seperti saya tidak meminta membuat gambar dia merespon dengan membuat gambar saat ketika saya meminta Membuat gambar malah gak bisa dia buat gambar sama sekali, mungkin hanya itu saja terima kasih",5
"makin kesini makin lemot! proses generate sering error atau lama sekali walaupun hasil sudah muncul tapi masih loading. sering error server juga, walaupun koneksi sudah dipastikan bagus dan lancar.",2
"Balikin dung dear gemini edit hanya dalam 1 chat prompt tanpa mengubah wajah dan fisik, sekarang muncul teks prompt lagi ketika di copy malah berubah karakternya, sangat mengharapkan solanya dengan keunggulan gemini saya berhenti memakai chatgpt, grok dan bahkan meta ai yang sangat simple terinstall di whatsapp",5
"awalan pakai untuk menggubah foto bisaa dan hasilnya bagus sesuai, setelah 2 hari pemakaian kenapa pas mengirim foto untuk diubah kenapa balasannya tidak ada fotonya yg tersedia dan terliat? dan bertulis ""gemini bisa melakukan kesalahan periksa opsi"" gitu tetuss",2
"bintang satu cukup untuk aplikasi ini,sudah upgrade tapi kualitas tidak bagus,disuruh buat gambar selalu salah,muter terus nunggu hasil sangat lama,ketika sudah jadi selalu salah,sangat nyesal upgrade ke aplikasi ini,jauh lebih bagus aplikasi grok kualitas bagus, gendrert sangat cepat dapat kan gambar atau video yang di perintahkan,gemini jauh sangat tidak bagus",1
"Untuk kualitas ok dan baik,hanya perlu peningkatan saja saat pemberian Front kadang suka tidak sesuai sama yg diinginkan dan meski kita ulang Front yg diminta gambar yg dihasilkan kan tetap seperti itu. Coba lakukan perubahan yg diminta agar Gemini semakin lebih baik . sukses slalu👍",5
"meskipun kecewa, tetep bintang lima, semoga ada perbaikan.. soale setelah upgrade jadi Gemini 2.5 flash, apk gak bisa berfungsi sama sekali... yg muncul selalu kata ini,, ""Maaf, saya tidak bisa membuat lebih banyak gambar untuk Anda hari ini, tetapi Anda bisa kembali lagi besok untuk membuat gambar lainnya."". SDH seminggu upgrade muncul kayak gitu terus.. padahal SDH di coba tiap hari",5
Gak sesuai kalau satu dua kali generate oke tapi serius ini aku memakai versi pro dan hasilnya 0 konsistensi jangka panjangnya kacau generatenya ngawur ... terus fitur banana ? buset otu sama sekali tidak membantu satu dua kali upload konsisten 3 - dan seterusnya kacau..,1
"Awalnya bagus tapi entah kenapa udah 2 hari ini error, setiap minta di buatkan gamabar biasanya hanya ada tanggapan ""ini dia foto yang Anda minta"" tanpa ada gambar yang muncul, biasanya juga di kasih balasan panjang yang intinya si AI gak bisa bikin gambar karena dia AI model teks, padahal sebelumnya bisa. entah apa yang salah.",3
"Saya rasa, Gemini akhir-akhir ini sering lag ya? apalagi kalau terlalu sering digunakan, kecuali kalau keluar aplikasi dan kembali digunakan, ini cara saya mengatasi lag tersebut. Saya harap ada langkah perbaikan untuk mengatasi ini, karena cukup mengganggu ketika sedang membahas sesuatu dan harus mengulang, walaupun bisa di teruskan lewat riwayat percakapan. Terkadang, riwayat yang dipilih untuk diteruskan malah macet (loading) jadi tidak bisa dilanjutkan.",3
"prompt dari Gemini sendiri tetap ga pernah bisa memberi gambar sesuai promt, ga tau maksud nya apa, hanya kata2 penjelasan panjang yg saya dapat, katanya hasil gambarnya bagus tapi nyatanya setelah memasukkan prompt dari Gemini itu sendiri tetap ga pernah muncul gambar nya,",1
"apl nya udh bagus tpi di saat kita lagi mengetik dan ngetik nya itu lama, dan setelah kita sudah mengetik teks yg panjang, dan komplit. lalu di kirim tiba² apl nya ada kesalahan. dan jika teks yg kita ketik tadi tidak hilang, gapapa tapi teks yang sudah di ketik hilang lho padahal yng di ketik panjang dan komplit. tolong di perbaiki lagi",2
"model penalaran masih salah membaca perintah. sering error. apalagi saya menggunakan versi pro. menghambat kinerja saya jika keseringan salah respon ketika di minta. cuma minta buat teks prompter, malah langsung buat videonya. buruk",1
kok akhir ² ini tidak bisa mengedit . dan sepertinya ketika kita masukan promt atau perintah lebih tepatnya kenapa tidak langsung di edit di tapi malah muncul deskripsi atau analisa,1
"Jujur, saya udah nyoba aplikasi ini dan bandingkan dengan aplikasi sebelah, hasilnya untuk belajar lebih puas pake gemini karena penjelasan simpel dan langsung klik di otak saya. Lanjutkan untuk tingkatin kualitasnya, jangan bikin AI yang hanya jadi buku berjalan tapi mengerti juga maksud dan tujuan dari ketikan user 👍",5
"udah beberapa kali pakai aplikasi ini untuk generated foto hasilnya memuaskan (walaupun ada sebagian yang agak berbeda dan kadang ga sesuai ekspetasi, tapi bisa diperbaiki lagi sendiri). Jadi makin suka, moga aplikasinya jangan downfall ya sama mentang mentang dah dapat kepuasan usernya 🖐😎",5
untuk aplikasi nya bagus dan baik tapi menurut masalah seperti kalau histori percakapan yang tidak sengaja atau sengaja terhapus bisa dikembalikan lagi untuk sementara sih bintang 4 dlu kalau fitur yang kusebutin udah ada baru bintang 5 sekian terima kasih,4
"Saya sudah berlangganan Google Gemini Pro bulanan sebagai percobaan, tapi tidak ada tanda saya telah menjadi anggota Google Gemini Pro. Pada saat saya minta menggenerate sebuah gambar yang hasilnya tidak sesuai prompt yang saya buat dan minta direvisi, hasilnya selalu gambar lama dikirim dan tidak ada hasil generate gambar baru sesuai revisi. Hal itu berulang kali terjadi saat diminta revisi..alias Gemini gagal membuat revisi terhadap gambar yang tidak sesuai prompt. Sangat menjengkelkan memang",2
"ini aplikasi ngebantu bangeet!!, dari saran yang diberikan atau arahan itu bener bener jawaban yang terstruktur dan dari ilmu yang ada. entah mau pelajarin apa yang kita minati ( contohnya untuk aku emulator dan typology ) atau bahkan ngerjain tugas sekalipun jawabannya ga ngecewain >7< terkadang aku ngerasa bersalah ""ini beneran boleh nanya secara gratis?"" soalnya ngebantu banget kalau aku nanya sesuatu yang ga bisa ku jawab atau bahkan harus nyari lama² di google. terimakasih banyak ya!",5
"Akun saya sudah berlangganan, mengenai penggunaan saat meminta bantuan itu memuaskan. Namun, setelah keluar aplikasi dan kemudian ingin membuka jawabannya tadi itu tidak bisa. Selalu terjadi error atau aplikasi tidak menanggapi.",3
"Saya menemukan bug pada aplikasi gemini, baik itu web ataupun apk. Dimana fungsi form mati dan keyboard tidak bisa mengetik ketika mencapai batas video, padahal saya memerlukan keterangan dari video. Jika saya hapus opsi veo maka akan dipaksa untuk ke percakapan baru. Padahal saya membutuhkan analisis video di tab percakapan saat itu. Semoga update mendatang bisa diperbaiki",5
"bagus karena unlimited tapi kadang bisa suka gak nyambung kalau percakapan sudah terlalu banyak which is wajar. kadang ada error dan melakukan hal yg tidak diminta, atau tidak melakukan hal yang diminta kayak tolong ubah lagi gambar ini begini begini tapi malah cuma dikirim ulang gambar aslinya. pokoknya ada errornya sedikit. oh ya saran aja, gambar ai nya kalau bisa ukuran framenya lebih besar. kecil banget hasilnya, bisakah dirubah?",4
"Thanks to God karna msih d ksih ksempatan buat make apk ini, entah siapapun pencipta nya tapi ya whatever lah intinya thanks bgt.. aku tau pasti ada kekurangan ny di setiap apk, tapi sejauh ini pemakaian ku fine² ajaa, semoga jika ada update lainnya, apk ini bisa tambah berkembang dan bagus serta dikurangi bug² yg ada d dlm apk ini 😆🙏🏻",4
TOLONG. PERMUDAH HISTORYNYA. MASIH ACAK2AN. baru saja teks dibuat kemudian keluar app. pas masuk lagi harus dimulai dari awal. pas dicari yang sebelumnya gak kebaca karna banyak riwayatnya. riwayatnya tidak bisa hapus keseluruhan dan tidak berurutan. saya kasih bintang 1 dulu ya agar jadi perhatian. nanti akan saya rubah jadi 5. aplikasi terbaik.,1
"Awalnya kagum dengan hasilnya, tetapi makin sering dipakai malah sering error bahkan nggak bisa generate gambar sama sekali. Aneh! Padahal tadinya berani berlangganan ini demi menunjang produktivitas MALAH BUANG-BUANG DUIT!!",1
"semakin kesini semakin tidak bagus,padahal awal pake Gemini bagus dikasih deskripsi langsung di edit sesuai yang Kita mau,tapi sekarang di kasih deskripsi untuk di edit malah tidak di edit tapi balik ngasih teks.",1
"Sangat kecewa. Gemini sering salah nangkep konteks. Saya lagi kasih penjelasan teks, malah otomatis generate gambar yang nggak diminta. Harusnya ada opsi buat matiin auto-generate",1
kamu lucu sekali. anda mengatakan gambar paus leo adalah ai dan fiktif lalu mengatakan paus leo adalah tokoh fiktif serta paus fransisikus masih menjabat saya harus berdebat dengan anda. akhirnya aku memberi bukti dengan aplikasi dola ai kamu malah menghina dola padahal dola telah memberi infomasi yang benar. kamu selalu salah dan tidak banyak membantu. perbaiki data kalian baru buat aplikasi. ini bukan pertamakalinya anda salah informasi dan saya harus tersesat karena anda. cepat perbaharui.,1
"""Saya pengguna remaja (15 thn). Saya ingin menyarankan agar AI ini punya fitur 'Pintu dan Kunci'. Jangan langsung beri jawaban, tapi dorong kami untuk berpikir dulu sebelum kunci jawabannya terbuka. Ini penting agar otak generasi kami tetap tajam dan tidak malas berpikir kritis.""Sebagai pelajar yang menggunakan teknologi ini setiap hari, saya melihat adanya risiko penurunan daya kritis...""Titik Kerja Otak' di mana AI tidak memberikan jawaban final secara instan untuk topik edukasi. :)",5
